Title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,total_sales_computed,release_year
Danganronpa: Trigger Happy Havoc,PSV,Adventure,NIS America,Spike Chunsoft,7.3,0.34,0.09,0.15,0.06,0.05,2014-02-11,2018-01-11,0.35,2014.0
Leisure Suit Larry: Magna Cum Laude,PS2,Adventure,VU Games,High Voltage Software,7.3,0.34,0.17,0.0,0.13,0.04,2004-10-05,,0.34,2004.0
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,Adventure,Buena Vista,Capcom,7.3,0.34,0.17,0.0,0.13,0.04,2005-10-10,,0.34,2005.0
The Shoot,PS3,Shooter,Sony Computer Entertainment,Cohort Studios,7.3,0.34,0.13,0.01,0.15,0.05,2010-10-26,,0.34,2010.0
Dynasty Warriors 6 Empires,PS3,Action,KOEI,Omega Force,6.4,0.34,0.14,0.15,0.03,0.02,2009-06-23,,0.3400000000000001,2009.0
Tiny Tank,PS,Action,Sony Computer Entertainment,Appaloosa Interactive,7.3,0.34,0.19,0.0,0.13,0.02,1999-09-01,,0.34,1999.0
Bank Heist,2600,Action,20th Century Fox Video Games,20th Century Fox Video Games,7.3,0.34,0.32,0.0,0.02,0.0,1983-01-01,,0.34,1983.0
SD Gundam G Generation World,PSP,Strategy,Namco Bandai,Tom Create,7.3,0.34,0.0,0.34,0.0,0.0,2011-02-24,,0.34,2011.0
Battalion Wars 2,Wii,Strategy,Nintendo,Kuju Entertainment,7.7,0.34,0.22,0.08,0.02,0.02,2007-10-29,,0.34,2007.0
World Championship Poker 2: Featuring Howard Lederer,PS2,Misc,Crave Entertainment,Point of View,7.3,0.34,0.16,0.0,0.13,0.04,2005-11-08,,0.33,2005.0
Frostbite,2600,Action,Activision,Activision,7.3,0.34,0.32,0.0,0.02,0.0,1983-08-14,,0.34,1983.0
SpongeBob SquarePants: The Yellow Avenger,DS,Action,THQ,Tantatus Interactive,7.3,0.34,0.31,0.0,0.0,0.02,2005-11-07,,0.33,2005.0
Freeway,2600,Action,Activision,Activision,7.3,0.34,0.32,0.0,0.02,0.0,1981-01-01,,0.34,1981.0
Fade to Black,PS,Action,Electronic Arts,Delphine Software International,7.3,0.34,0.19,0.0,0.13,0.02,1996-06-24,,0.34,1996.0
Dynasty Warriors: Gundam 2,PS2,Action,Namco Bandai,Omega Force,4.9,0.34,0.04,0.25,0.03,0.01,2009-04-21,,0.32999999999999996,2009.0
Iron Man 2,DS,Action,Sega,"Sega Studios, San Francisco",7.3,0.34,0.14,0.0,0.16,0.03,2010-05-04,,0.33000000000000007,2010.0
Remember Me,PS3,Action,Capcom,DONTNOD Entertainment,7.3,0.34,0.1,0.0,0.18,0.05,2013-06-04,2018-02-03,0.33,2013.0
Mini Ninjas,DS,Action,Eidos Interactive,IO Interactive,7.3,0.34,0.16,0.0,0.15,0.04,2009-09-08,,0.35,2009.0
Dynasty Warriors 5 Empires,PS2,Action,KOEI,Omega Force,6.3,0.34,0.11,0.12,0.09,0.03,2006-03-28,,0.35,2006.0
Pirates of the Caribbean: At World's End,DS,Action,Disney Interactive Studios,Amaze Entertainment,7.3,0.34,0.3,0.01,0.01,0.03,2007-05-22,,0.35,2007.0
Teenage Mutant Ninja Turtles,GC,Action,Konami,Konami,7.3,0.34,0.26,0.0,0.07,0.01,2003-10-31,,0.34,2003.0
Tenchu Z,X360,Action,Microsoft,K2 LLC,5.7,0.34,0.27,0.02,0.02,0.03,2007-06-12,,0.3400000000000001,2007.0
Fantastic Voyage,2600,Action,20th Century Fox Video Games,20th Century Fox Video Games,7.3,0.34,0.32,0.0,0.02,0.0,1982-01-01,,0.34,1982.0
Conan,PS3,Action,THQ,Nihilistic Software,7.3,0.34,0.13,0.0,0.15,0.05,2007-10-23,,0.33,2007.0
Alien's Return,2600,Action,ITT Family Games,Gem International Corporation,7.3,0.34,0.32,0.0,0.02,0.0,1983-01-01,,0.34,1983.0
Guitar Hero Live,X360,Music,Activision,FreeStyleGames,7.3,0.34,0.2,0.0,0.11,0.03,2015-10-20,2018-03-15,0.33999999999999997,2015.0
Just Dance 2017,XOne,Music,Ubisoft,Ubisoft Paris,7.3,0.34,0.25,0.0,0.05,0.03,2016-10-25,2018-04-06,0.32999999999999996,2016.0
Divinity: Original Sin,PS4,Role-Playing,Focus Home Interactive,Larian Studios,7.3,0.34,0.13,0.04,0.13,0.05,2015-10-27,,0.35000000000000003,2015.0
Star Ocean: Second Evolution,PSP,Role-Playing,Square Enix,TOSE Software,8.0,0.34,0.14,0.16,0.02,0.02,2009-01-20,,0.3400000000000001,2009.0
The Wild Thornberrys Movie,GBA,Platform,THQ,"Human Soft, Inc.",7.3,0.34,0.25,0.0,0.09,0.01,2002-11-13,,0.35,2002.0
Classic NES Series: Ice Climber,GBA,Platform,Nintendo,Nintendo,7.3,0.34,0.1,0.2,0.04,0.01,2004-06-02,,0.35000000000000003,2004.0
The Fairly Odd Parents: Shadow Showdown,GBA,Platform,THQ,Helixe,7.3,0.34,0.25,0.0,0.09,0.01,2004-09-20,,0.35,2004.0
Lord of Arcana,PSP,Role-Playing,Square Enix,Square Enix,4.7,0.34,0.08,0.17,0.05,0.04,2011-01-25,,0.33999999999999997,2011.0
Spy Hunter,XB,Racing,Midway Games,Point of View,7.3,0.34,0.25,0.0,0.07,0.01,2002-03-10,,0.33,2002.0
Night Warriors: Darkstalkers' Revenge,SAT,Fighting,Capcom,Capcom,7.3,0.34,0.0,0.34,0.0,0.0,1996-02-22,,0.34,1996.0
WWE Day of Reckoning 2,GC,Fighting,THQ,Yuke's Future Media Creators,8.3,0.34,0.26,0.0,0.07,0.01,2005-08-29,,0.34,2005.0
Odin Sphere: Leifthrasir,PS4,Role-Playing,Atlus,Vanillaware,7.3,0.34,0.14,0.09,0.07,0.04,2016-06-07,,0.34,2016.0
Puzzle Quest: Challenge of the Warlords,DS,Puzzle,D3 Publisher,1st Playable Productions,7.3,0.34,0.28,0.03,0.01,0.02,2007-03-20,,0.3400000000000001,2007.0
Tekken Tag Tournament 2,X360,Fighting,Namco Bandai Games,Bandai Namco Games,7.3,0.34,0.19,0.01,0.11,0.03,2012-09-11,2018-04-21,0.33999999999999997,2012.0
F.E.A.R.,X360,Shooter,Vivendi Games,Day 1 Studios,8.6,0.34,0.28,0.0,0.03,0.03,2006-10-31,,0.3400000000000001,2006.0
Marvel vs. Capcom: Infinite,XOne,Fighting,Capcom,Capcom,7.3,0.34,0.26,0.0,0.05,0.03,2017-09-19,2018-09-22,0.33999999999999997,2017.0
WWE All Stars,X360,Fighting,THQ,THQ,7.7,0.34,0.18,0.0,0.14,0.03,2011-03-29,,0.35,2011.0
Point Blank,PS,Shooter,Namco,Namco,7.3,0.34,0.05,0.23,0.03,0.02,1998-04-30,,0.33000000000000007,1998.0
Sniper: Ghost Warrior 2,PS3,Shooter,City Interactive,City Interactive,7.3,0.34,0.05,0.03,0.2,0.05,2013-03-12,,0.33,2013.0
Delta Force: Black Hawk Down,XB,Shooter,NovaLogic,Climax Group,7.3,0.34,0.25,0.0,0.07,0.01,2005-07-26,,0.33,2005.0
Off Road Challenge,N64,Racing,Midway Games,Avalanche Software,7.3,0.34,0.27,0.0,0.06,0.0,1998-06-01,,0.33,1998.0
Carnival,2600,Shooter,Coleco,Coleco,7.3,0.34,0.32,0.0,0.02,0.0,1982-01-01,,0.34,1982.0
Speed Racer: The Videogame,DS,Racing,Warner Bros. Interactive,Virtuos Games,7.3,0.34,0.28,0.0,0.04,0.03,2008-05-06,,0.35,2008.0
Twisted Metal,PS3,Racing,Sony Computer Entertainment,Eat Sleep Play,7.3,0.34,0.32,0.0,0.0,0.03,2012-02-14,2018-08-06,0.35,2012.0
007 Legends,PS3,Shooter,Activision,Eurocom,7.3,0.34,0.11,0.0,0.17,0.06,2012-10-16,2018-10-16,0.34,2012.0
MotorStorm: Arctic Edge,PS2,Racing,Sony Computer Entertainment,Virtuos,7.4,0.34,0.07,0.0,0.03,0.25,2009-10-20,,0.35,2009.0
Hitman: Contracts,XB,Shooter,Eidos Interactive,IO Interactive,7.3,0.34,0.26,0.0,0.07,0.01,2004-04-20,,0.34,2004.0
NBA 2K17,PS3,Sports,2K Sports,Visual Concepts,7.3,0.34,0.16,0.02,0.11,0.05,2016-09-16,2018-03-28,0.33999999999999997,2016.0
NHL 09,PS3,Sports,Electronic Arts,EA Canada,7.3,0.34,0.29,0.0,0.02,0.03,2008-09-09,,0.33999999999999997,2008.0
MVP 06 NCAA Baseball,XB,Sports,EA Sports,EA Canada,7.3,0.34,0.25,0.0,0.07,0.01,2006-01-18,,0.33,2006.0
Marvel Super Heroes,PS,Fighting,Capcom,Capcom,7.3,0.34,0.19,0.0,0.13,0.02,1997-09-29,,0.34,1997.0
The King of Fighters XIV,PS4,Fighting,Atlus,SNK Playmore,7.3,0.34,0.21,0.06,0.02,0.05,2016-08-23,2018-05-30,0.34,2016.0
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,Sports,Sega,Eurocom Entertainment Software,7.3,0.34,0.09,0.0,0.19,0.07,2010-01-12,,0.35000000000000003,2010.0
NBA 2K12,Wii,Sports,2K Sports,Visual Concepts,7.3,0.34,0.29,0.0,0.03,0.02,2011-10-04,,0.33999999999999997,2011.0
Dragon Ball Heroes: Ultimate Mission 2,3DS,Fighting,Namco Bandai Games,Dimps Corporation,7.3,0.34,0.0,0.34,0.0,0.0,2014-08-07,2018-01-22,0.34,2014.0
Racquet Sports,PS3,Sports,Ubisoft,Asobo Studio,4.2,0.34,0.11,0.0,0.17,0.06,2010-09-14,,0.34,2010.0
Football Manager Handheld 2008,PSP,Sports,Sega,Sports Interactive,7.3,0.34,0.0,0.0,0.33,0.0,2007-11-30,,0.33,2007.0
Imagine: Movie Star,DS,Simulation,Ubisoft,Powerhead Games,7.3,0.34,0.31,0.0,0.0,0.03,2008-11-18,,0.33999999999999997,2008.0
My Baby Boy,DS,Simulation,SouthPeak Interactive,Dancing Dots,7.3,0.34,0.3,0.0,0.02,0.03,2008-11-04,,0.35,2008.0
Avatar: The Last Airbender - The Burning Earth,DS,Action,THQ,TOSE Software,7.3,0.34,0.31,0.0,0.0,0.03,2007-10-16,,0.33999999999999997,2007.0
DanceDanceRevolution,Wii,Simulation,Konami,Konami,7.3,0.34,0.28,0.0,0.04,0.02,2010-11-16,,0.34,2010.0
Herbie: Fully Loaded,GBA,Racing,Buena Vista,Climax Group,5.0,0.34,0.24,0.0,0.09,0.01,2005-07-12,,0.33999999999999997,2005.0
Momotarou Dentetsu DS: Tokyo & Japan,DS,Misc,Hudson Soft,Hudson Soft,7.3,0.34,0.0,0.34,0.0,0.0,2007-04-26,,0.34,2007.0
Kurushi Final: Mental Blocks,PS,Puzzle,Sony Computer Entertainment,SCEI,7.3,0.34,0.0,0.32,0.0,0.02,1999-08-01,,0.34,1999.0
WWE '12,Wii,Fighting,THQ,"Yuke's Co., Ltd.",7.3,0.34,0.23,0.0,0.09,0.03,2011-11-22,2019-01-29,0.35,2011.0
Skylanders: Trap Team,3DS,Misc,Activision,Toys for Bob,7.3,0.34,0.21,0.0,0.1,0.03,2014-10-05,2018-01-23,0.33999999999999997,2014.0
Angry Birds: Star Wars,3DS,Puzzle,Activision,Exient Entertainment,7.3,0.34,0.15,0.0,0.16,0.03,2013-10-29,2018-01-20,0.33999999999999997,2013.0
Super Bust-A-Move,PS2,Puzzle,Acclaim Entertainment,Taito Corporation,7.3,0.34,0.17,0.0,0.13,0.04,2000-11-26,,0.34,2000.0
FIFA Street 3,X360,Sports,EA Sports BIG,EA Canada,7.3,0.34,0.17,0.0,0.14,0.04,2008-02-18,,0.35000000000000003,2008.0
Disney Fairies: Tinker Bell and the Great Fairy Rescue,DS,Adventure,Disney Interactive Studios,Hyde,7.3,0.33,0.17,0.0,0.12,0.03,2010-09-21,,0.32000000000000006,2010.0
Beyond Good & Evil,PS2,Adventure,Ubisoft,Ubisoft Montpellier,8.3,0.33,0.16,0.0,0.13,0.04,2003-11-11,,0.33,2003.0
Sakura Wars 3: Paris wa Moeteiru ka,DC,Adventure,Sega,Overworks,7.3,0.33,0.0,0.33,0.0,0.0,2001-03-22,,0.33,2001.0
Avatar: The Last Airbender,DS,Adventure,THQ,AWE Games,7.3,0.33,0.3,0.0,0.01,0.02,2006-10-10,,0.33,2006.0
Chicken Riot,Wii,Action,City Interactive,City Interactive,7.3,0.33,0.14,0.0,0.16,0.03,2010-02-16,,0.33000000000000007,2010.0
Samurai Warriors 2: Xtreme Legends (JP sales),PS2,Action,KOEI,Omega Force,7.3,0.33,0.0,0.33,0.0,0.0,2008-03-18,,0.33,2008.0
Teen Titans,GC,Action,THQ,A2M,6.3,0.33,0.25,0.0,0.07,0.01,2006-05-24,,0.33,2006.0
BattleTanx,N64,Action,3DO,3DO,7.3,0.33,0.26,0.0,0.06,0.0,1998-12-31,,0.32,1998.0
Tokyo Highway Battle,PS,Racing,Crave Entertainment,Genki,7.3,0.33,0.06,0.21,0.04,0.02,1996-09-30,,0.33,1996.0
Spy Kids 3-D: Game Over,GBA,Platform,Disney Interactive Studios,Digital Eclipse,7.3,0.33,0.24,0.0,0.09,0.01,2003-06-30,,0.33999999999999997,2003.0
Shin Nippon Pro Wrestling: Toukon Retsuden,PS,Fighting,Tomy Corporation,Yuke's Media Creations,7.3,0.33,0.0,0.3,0.0,0.02,1995-09-29,,0.32,1995.0
Dead or Alive 5,X360,Fighting,Tecmo Koei,Team Ninja,7.6,0.33,0.2,0.03,0.08,0.03,2012-09-25,2018-01-23,0.33999999999999997,2012.0
Street Fighter Alpha 3 MAX,PSP,Fighting,Capcom,Capcom,7.8,0.33,0.27,0.02,0.01,0.03,2006-02-07,,0.33000000000000007,2006.0
The King of Fighters XIII,X360,Fighting,Atlus,SNK Playmore Corporation,7.3,0.33,0.23,0.01,0.07,0.03,2011-11-22,,0.3400000000000001,2011.0
Legends of Wrestling II,PS2,Fighting,Acclaim Entertainment,Acclaim Studios Salt Lake City,7.3,0.33,0.16,0.0,0.13,0.04,2002-11-26,,0.33,2002.0
WWE Wrestlemania XIX,GC,Fighting,THQ,Yuke's,7.8,0.33,0.26,0.0,0.07,0.01,2003-09-08,,0.34,2003.0
Custom Robo,N64,Fighting,Unknown,Noise Inc.,7.3,0.33,0.0,0.29,0.0,0.04,,,0.32999999999999996,
Power Rangers: Ninja Storm,GBA,Platform,THQ,Natsume,7.3,0.33,0.24,0.0,0.09,0.01,2003-09-05,,0.33999999999999997,2003.0
Kirby: Battle Royale,3DS,Fighting,Nintendo,HAL Laboratory,6.0,0.33,0.07,0.2,0.05,0.01,2018-01-19,2018-01-03,0.33,2018.0
Naruto: Gekitou Ninja Taisen! 4,GC,Fighting,Tomy Corporation,Eighting,7.3,0.33,0.0,0.32,0.0,0.01,2005-11-21,,0.33,2005.0
Call of Duty 2: Big Red One,GC,Shooter,Activision,Treyarch,7.5,0.33,0.25,0.0,0.07,0.01,2005-11-01,,0.33,2005.0
Tom Clancy's Ghost Recon Advanced Warfighter,XB,Shooter,Ubisoft,Ubisoft Shanghai,7.3,0.33,0.21,0.0,0.11,0.01,2006-03-09,,0.33,2006.0
Fracture,X360,Shooter,LucasArts,Day 1 Studios,4.0,0.33,0.15,0.0,0.14,0.04,2008-10-07,,0.33,2008.0
PlayerUnknown's Battlegrounds,PS4,Shooter,Sony Interactive Entertainment,PUBG Corporation,7.3,0.33,0.13,0.0,0.15,0.05,2018-12-07,2018-11-18,0.33,2018.0
Parodius,PS,Shooter,Konami,Konami,7.3,0.33,0.0,0.31,0.0,0.02,1996-01-01,,0.33,1996.0
Sniper Elite III,X360,Shooter,505 Games,Rebellion Developments,7.3,0.33,0.18,0.0,0.12,0.03,2014-07-01,2018-09-22,0.32999999999999996,2014.0
NeoGeo Battle Coliseum,PS2,Fighting,SNK Playmore,SNK Playmore Corporation,7.3,0.33,0.16,0.0,0.13,0.04,2007-12-17,,0.33,2007.0
Mystery Case Files: The Malgrave Incident,Wii,Adventure,Nintendo,Big Fish Games,6.3,0.33,0.17,0.0,0.13,0.03,2011-06-27,,0.33000000000000007,2011.0
The Adventures of Tintin: The Game,Wii,Adventure,Ubisoft,Ubisoft,7.3,0.33,0.12,0.0,0.16,0.04,2011-12-06,,0.32,2011.0
Alien: Isolation,PS3,Adventure,Sega,Creative Assembly,7.3,0.33,0.12,0.0,0.16,0.05,2014-10-07,2018-01-06,0.33,2014.0
Scooby-Doo! First Frights,PS2,Adventure,Warner Bros. Interactive,Torus Games,7.3,0.33,0.14,0.0,0.03,0.16,2009-09-22,,0.33,2009.0
Clock Tower 3,PS2,Adventure,Capcom,SunSoft,7.0,0.33,0.1,0.12,0.08,0.03,2003-03-18,,0.32999999999999996,2003.0
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,Music,Namco Bandai Games,Namco Bandai Games,7.3,0.33,0.0,0.33,0.0,0.0,2014-06-26,2018-01-23,0.33,2014.0
Dr. Mario / Puzzle League,GBA,Puzzle,Nintendo,Intelligent Systems,7.5,0.33,0.12,0.16,0.04,0.01,2005-11-28,,0.33,2005.0
MX vs. ATV Untamed,Wii,Racing,THQ,Rainbow Studios,7.3,0.33,0.28,0.0,0.03,0.02,2008-02-18,,0.33000000000000007,2008.0
Bomberman World,PS,Puzzle,Atlus,Hudson Soft,6.5,0.33,0.06,0.22,0.04,0.02,1998-09-22,,0.34,1998.0
BookWorm,DS,Puzzle,PopCap Games,PopCap Games,7.3,0.33,0.3,0.0,0.01,0.02,2009-12-08,,0.33,2009.0
Planet Puzzle League,DS,Puzzle,Nintendo,Intelligent Systems,8.6,0.33,0.14,0.16,0.01,0.01,2007-06-04,,0.32000000000000006,2007.0
Kidou Senshi Gundam F91: Formula Senki 0122,SNES,Strategy,Bandai,Bandai,7.3,0.33,0.0,0.33,0.0,0.0,1991-07-06,,0.33,1991.0
"Warhammer 40,000: Squad Command",PSP,Strategy,THQ,RedLynx,6.6,0.33,0.11,0.0,0.14,0.08,2007-11-12,,0.33,2007.0
NASCAR Thunder 2002,XB,Racing,EA Sports,EA Tiburon,7.3,0.33,0.25,0.0,0.07,0.01,2001-11-14,,0.33,2001.0
The Crew 2,XOne,Racing,Ubisoft,Ivory Tower,7.3,0.33,0.2,0.0,0.1,0.03,2018-06-29,2018-07-19,0.33000000000000007,2018.0
GT Advance Championship Racing,GBA,Racing,THQ,MTO,7.5,0.33,0.24,0.0,0.09,0.01,2001-06-08,,0.33999999999999997,2001.0
We Sing Deutsche Hits,Wii,Misc,Nordic Games,Le Cortex,7.3,0.33,0.0,0.0,0.29,0.04,2011-05-26,,0.32999999999999996,2011.0
Discovery Kids: Puppy Playtime,DS,Simulation,505 Games,505 Games,7.3,0.33,0.3,0.0,0.0,0.02,2009-03-24,,0.32,2009.0
Style Lab: Jewelry Design,DS,Simulation,Ubisoft,1st Playable Productions,7.3,0.33,0.3,0.0,0.0,0.02,2009-11-10,,0.32,2009.0
Mega Man ZX Advent,DS,Platform,Capcom,Inti Creates,7.6,0.33,0.22,0.09,0.0,0.02,2007-10-23,,0.33,2007.0
Cabela's Dangerous Hunts 2011,PS3,Sports,Activision,Cauldron,7.3,0.33,0.26,0.0,0.04,0.03,2010-10-19,,0.32999999999999996,2010.0
Virtua Tennis 2009,X360,Sports,Sega,Sumo Digital,7.3,0.33,0.12,0.0,0.18,0.03,2009-06-09,,0.32999999999999996,2009.0
NBA 2K10,PSP,Sports,2K Sports,Visual Concepts,5.5,0.33,0.3,0.0,0.0,0.03,2009-10-06,,0.32999999999999996,2009.0
Kelly Slater's Pro Surfer,PS2,Sports,Activision,Treyarch,7.3,0.33,0.16,0.0,0.13,0.04,2002-09-16,,0.33,2002.0
World Stadium 3,PS,Sports,Namco,Namco,7.3,0.33,0.0,0.31,0.0,0.02,1999-04-08,,0.33,1999.0
Extra Bases,GB,Sports,Bandai,Namco,7.3,0.33,0.0,0.33,0.0,0.0,1991-04-01,,0.33,1991.0
Deathtrap Dungeon,PS,Action,Eidos Interactive,Unknown,7.3,0.33,0.19,0.0,0.13,0.02,1998-03-31,,0.34,1998.0
SSX Blur,Wii,Sports,EA Sports BIG,EA Montreal,7.3,0.33,0.29,0.0,0.01,0.02,2007-02-27,,0.32,2007.0
NCAA GameBreaker 2001,PS,Sports,Sony Computer Entertainment,989 Sports,7.3,0.33,0.18,0.0,0.12,0.02,2000-08-21,,0.32,2000.0
MVP Baseball 2005,GC,Sports,EA Sports,EA Canada,8.7,0.33,0.25,0.0,0.07,0.01,2005-02-22,,0.33,2005.0
NCAA Basketball 10,PS3,Sports,Electronic Arts,EA Canada,7.3,0.33,0.31,0.0,0.0,0.03,2009-11-17,,0.33999999999999997,2009.0
The Sims 2,GC,Simulation,Electronic Arts,Maxis,7.6,0.33,0.26,0.0,0.07,0.01,2005-10-24,,0.34,2005.0
BeatMania Append GottaMix,PS,Simulation,Konami,Konami,7.3,0.33,0.0,0.31,0.0,0.02,1999-05-27,,0.33,1999.0
Harry Potter and the Deathly Hallows - Part 2,X360,Action,Electronic Arts,EA Bright Light,4.8,0.33,0.19,0.0,0.11,0.03,2011-07-12,,0.32999999999999996,2011.0
Super Power League 2,SNES,Sports,Hudson Soft,Hudson Soft,7.3,0.33,0.0,0.33,0.0,0.0,1994-08-03,,0.33,1994.0
EA Playground,DS,Sports,Electronic Arts,Piranha Games,7.3,0.33,0.29,0.0,0.01,0.03,2007-10-23,,0.32999999999999996,2007.0
NBA Live 96,PS,Sports,Electronic Arts,EA Canada,7.3,0.33,0.16,0.04,0.11,0.02,1996-03-01,,0.33,1996.0
MLB 08: The Show,PSP,Sports,Sony Computer Entertainment,SCEA San Diego Studios,8.3,0.33,0.3,0.0,0.0,0.02,2008-03-04,,0.32,2008.0
Call of Duty: Infinite Warfare,PC,Shooter,Activision,Infinity Ward,7.3,0.33,0.12,0.0,0.19,0.03,2016-11-04,2018-01-14,0.33999999999999997,2016.0
Deus Ex: Invisible War,XB,Shooter,Eidos Interactive,Ion Storm,8.5,0.33,0.25,0.0,0.07,0.01,2003-12-02,,0.33,2003.0
Etrian Odyssey,DS,Role-Playing,Atlus,Atlus Co. / Lancarse,7.4,0.33,0.19,0.09,0.03,0.02,2007-05-15,,0.33000000000000007,2007.0
Medal of Honor: Warfighter,PC,Shooter,Electronic Arts,Danger Close Games,7.3,0.33,0.14,0.0,0.16,0.03,2012-10-23,2018-01-13,0.33000000000000007,2012.0
Fight Night Round 3,XB,Fighting,EA Sports,EA Chicago,7.3,0.33,0.26,0.0,0.06,0.01,2006-02-23,,0.33,2006.0
Untold Legends: The Warriors Code,PSP,Role-Playing,Sony Online Entertainment,Sony Online Entertainment,6.8,0.33,0.14,0.0,0.12,0.08,2006-03-28,,0.34,2006.0
Resonance of Fate,X360,Role-Playing,Sega,tri-Ace,7.4,0.33,0.12,0.06,0.13,0.03,2010-03-16,,0.33999999999999997,2010.0
Disgaea: Hour of Darkness,PS2,Role-Playing,Atlus,Nippon Ichi Software,8.8,0.33,0.16,0.0,0.13,0.04,2003-08-27,,0.33,2003.0
Tokyo Mirage Sessions #FE,WiiU,Role-Playing,Nintendo,Atlus,8.0,0.33,0.17,0.08,0.06,0.02,2016-06-24,2020-07-23,0.33,2016.0
Farming Simulator 17,XOne,Simulation,Focus Home Interactive,Giants Software,7.3,0.33,0.19,0.0,0.11,0.03,2016-10-25,2018-04-06,0.32999999999999996,2016.0
Disgaea 2: Cursed Memories,PS2,Role-Playing,NIS America,Nippon Ichi Software,7.9,0.33,0.09,0.15,0.07,0.02,2006-08-29,,0.33,2006.0
Fable III,PC,Role-Playing,Microsoft Game Studios,Lionhead Studios,7.0,0.33,0.11,0.0,0.17,0.05,2011-05-17,,0.33,2011.0
Valkyria Chronicles Remastered,PS4,Role-Playing,Sega,Sega,7.3,0.33,0.14,0.08,0.08,0.04,2016-05-17,2018-09-11,0.34,2016.0
Fate/Extra,PSP,Role-Playing,Aksys Games,imageepoch Inc.,7.3,0.33,0.19,0.1,0.01,0.03,2011-11-01,,0.33000000000000007,2011.0
The Witcher: Enhanced Edition,PC,Role-Playing,Atari,CD Projekt Red Studio,8.3,0.33,0.32,0.0,0.01,0.0,2008-09-16,,0.33,2008.0
Ape Escape Academy,PSP,Party,Sony Computer Entertainment,Shift,5.3,0.33,0.13,0.0,0.15,0.05,2006-01-17,2018-09-18,0.33,2006.0
Minute to win it,X360,Misc,Zoo Games,Zoo Entertainment Inc.,7.3,0.33,0.3,0.0,0.0,0.03,2011-10-18,,0.32999999999999996,2011.0
The X-Factor,Wii,Misc,Deep Silver,Deep Silver,7.3,0.33,0.0,0.0,0.29,0.04,2010-10-29,,0.32999999999999996,2010.0
Def Jam Rapstar,Wii,Misc,Konami,4mm Games / Terminal Reality,7.3,0.33,0.29,0.0,0.02,0.02,2010-10-05,,0.33,2010.0
Hell's Kitchen: The Game,Wii,Simulation,Ubisoft,Ludia Inc.,7.3,0.33,0.3,0.0,0.0,0.03,2008-09-09,,0.32999999999999996,2008.0
Jeanne d'Arc,PSP,Role-Playing,Sony Computer Entertainment,Level 5,8.4,0.33,0.21,0.1,0.0,0.02,2007-08-21,,0.33,2007.0
Harry Potter and the Deathly Hallows - Part 2,Wii,Action,Electronic Arts,EA Bright Light,7.3,0.33,0.17,0.0,0.13,0.03,2011-07-12,,0.33000000000000007,2011.0
Frogger II: Threeedeep!,2600,Action,Parker Bros.,Parker Bros,7.3,0.33,0.31,0.0,0.02,0.0,1984-01-01,,0.33,1984.0
Iron Man 2,Wii,Action,Sega,"Sega Studios, San Francisco",7.3,0.33,0.15,0.0,0.15,0.03,2010-05-04,,0.32999999999999996,2010.0
Fireball,2600,Action,Unknown,Starpath Corp.,7.3,0.33,0.3,0.0,0.02,0.0,1982-01-01,,0.32,1982.0
Harry Potter and the Deathly Hallows - Part 2,PS3,Action,Electronic Arts,EA Bright Light,7.3,0.33,0.14,0.0,0.14,0.05,2011-07-12,,0.33,2011.0
Shrek SuperSlam,GBA,Action,Activision,Amaze Entertainment / Griptonite Games,7.3,0.33,0.24,0.0,0.09,0.01,2005-10-25,,0.33999999999999997,2005.0
Binary Domain,PS3,Action,Sega,Amusement Vision,7.3,0.33,0.09,0.14,0.07,0.03,2012-02-28,2018-02-16,0.33000000000000007,2012.0
Way of the Samurai 2,PS2,Action,Capcom,Acquire,7.3,0.33,0.05,0.23,0.04,0.01,2004-07-07,,0.33,2004.0
Capcom Classics Collection Reloaded,PSP,Misc,Capcom,Capcom,7.1,0.33,0.26,0.03,0.0,0.03,2006-10-24,,0.32000000000000006,2006.0
DECA Sports Freedom,X360,Sports,Hudson Soft,Hudson Soft,3.0,0.33,0.27,0.0,0.04,0.02,2010-11-18,,0.33,2010.0
Pinball Hall of Fame: The Gottlieb Collection,PS2,Misc,Crave Entertainment,FarSight Studios,7.3,0.33,0.16,0.0,0.12,0.04,2004-11-16,,0.32,2004.0
DX Game of Life 2,PS,Misc,Takara,Takara,7.3,0.33,0.0,0.31,0.0,0.02,1997-07-24,,0.33,1997.0
Family Party: 90 Great Games Party Pack,Wii,Misc,D3 Publisher,D3 Publisher,7.3,0.33,0.31,0.0,0.0,0.02,2010-10-26,,0.33,2010.0
Buzz! The Ultimate Music Quiz,PS3,Misc,Sony Computer Entertainment,Relentless Software,7.3,0.33,0.0,0.0,0.25,0.08,2010-10-15,,0.33,2010.0
Banjo-Kazooie: Grunty's Revenge,GBA,Platform,THQ,Rare Ltd.,6.6,0.33,0.24,0.0,0.09,0.01,2003-09-10,,0.33999999999999997,2003.0
Klonoa 2: Lunatea's Veil,PS2,Platform,Namco,Namco,9.4,0.33,0.12,0.08,0.1,0.03,2001-07-25,,0.33000000000000007,2001.0
