Title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,total_sales_computed,release_year
Tokyo Twilight Ghost Hunters,PS3,Visual Novel,Aksys Games,Toybox Games,7.3,0.07,0.03,0.02,0.0,0.01,2015-03-10,2018-12-02,0.060000000000000005,2015.0
Fairy Tail: Zelef Kakusei,PSP,Fighting,Konami,Konami,7.3,0.07,0.0,0.07,0.0,0.0,2012-03-22,2018-12-28,0.07,2012.0
Tom and Jerry in War of the Whiskers,GC,Fighting,NewKidCo,VIS Entertainment,7.3,0.07,0.05,0.0,0.01,0.0,2003-01-04,,0.060000000000000005,2003.0
Street Fighter V,PC,Fighting,Capcom,Capcom,7.3,0.07,0.0,0.0,0.06,0.0,2016-02-16,,0.06,2016.0
BlazBlue: Cross Tag Battle,NS,Fighting,Arc System Works,Arc System Works,8.0,0.07,0.04,0.01,0.01,0.01,2018-06-05,2018-06-06,0.07,2018.0
McFarlane's Evil Prophecy,PS2,Action,Konami,Konami,7.3,0.07,0.03,0.0,0.03,0.01,2004-06-15,,0.06999999999999999,2004.0
Legends of Wrestling II,GBA,Fighting,Acclaim Entertainment,Powerhead Games,7.3,0.07,0.05,0.0,0.02,0.0,2002-11-25,,0.07,2002.0
Fatal Fury: Battle Archives Volume 2,PS2,Fighting,SNK Playmore,SNK Playmore Corporation,7.3,0.07,0.03,0.0,0.03,0.01,2008-04-08,,0.06999999999999999,2008.0
Super Robot Spirits,N64,Fighting,Banpresto,Vertex,7.3,0.07,0.0,0.04,0.0,0.03,1998-07-17,,0.07,1998.0
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,Fighting,Konami,Konami,7.3,0.07,0.04,0.02,0.01,0.0,1994-02-01,,0.06999999999999999,1994.0
Cartoon Network: Punch Time Explosion XL,PS3,Fighting,Crave Entertainment,Papaya Studios,7.3,0.07,0.06,0.0,0.0,0.01,2011-11-08,,0.06999999999999999,2011.0
Street Fighter 30th Anniversary Collection,XOne,Fighting,Capcom,Capcom,7.3,0.07,0.05,0.0,0.01,0.01,2018-05-29,2018-11-07,0.07,2018.0
Dragon Ball Z: Battle of Z,X360,Fighting,Namco Bandai Games,ArtDink,7.3,0.07,0.01,0.0,0.05,0.0,2014-01-28,2018-10-18,0.060000000000000005,2014.0
Ultimate Marvel vs. Capcom 3,X360,Fighting,Capcom,Capcom,8.3,0.07,0.0,0.04,0.03,0.0,2011-11-15,,0.07,2011.0
Naruto Shippuuden: Gekitou Ninja Taisen! EX 3,Wii,Fighting,Takara Tomy,8ing/Raizing,7.3,0.07,0.0,0.07,0.0,0.0,2008-11-27,,0.07,2008.0
Boxing,PS,Fighting,Agetec,A1 Games,5.9,0.07,0.04,0.0,0.03,0.0,2001-05-14,,0.07,2001.0
My Fun Facts Coach,DS,Misc,Ubisoft,Ubisoft,7.3,0.07,0.07,0.0,0.0,0.01,2008-12-02,,0.08,2008.0
The Idolm@ster: Live for You!,X360,Misc,Namco Bandai,Bandai Namco Games,7.3,0.07,0.0,0.07,0.0,0.0,2008-02-28,,0.07,2008.0
Learn Geography,DS,Misc,DreamCatcher Interactive,DreamCatcher Interactive,7.3,0.07,0.07,0.0,0.0,0.01,2009-12-27,,0.08,2009.0
J Legend Retsuden,3DS,Misc,Namco Bandai Games,Bandai Namco Games,7.3,0.07,0.0,0.07,0.0,0.0,2013-11-07,2018-12-19,0.07,2013.0
Pong / Asteroids / Yars' Revenge,GBA,Misc,DSI Games,DSI Games,7.3,0.07,0.05,0.0,0.02,0.0,2005-08-21,,0.07,2005.0
Rock Band Country Track Pack 2,PS3,Misc,MTV Games,Harmonix Music Systems,7.3,0.07,0.07,0.0,0.0,0.01,2011-02-01,,0.08,2011.0
Parlor! Mini 2,SNES,Misc,Nippon Telenet,Nippon Telenet,7.3,0.07,0.0,0.07,0.0,0.0,1996-06-28,,0.07,1996.0
Moxie Girlz,DS,Misc,GameMill,1st Playable,7.3,0.07,0.07,0.0,0.0,0.01,2011-10-11,,0.08,2011.0
Magi: The Labyrinth of Beginning,3DS,Misc,Namco Bandai Games,Bandai Namco Games,7.3,0.07,0.0,0.07,0.0,0.0,2013-02-21,2018-12-27,0.07,2013.0
Rock Band Track Pack: Classic Rock,X360,Misc,MTV Games,Harmonix Music Systems,7.3,0.07,0.07,0.0,0.0,0.01,2009-05-19,,0.08,2009.0
Midway Arcade Treasures 3,GC,Misc,Midway Games,Digital Eclipse,6.1,0.07,0.05,0.0,0.01,0.0,2005-10-26,,0.060000000000000005,2005.0
Ultimate Board Game Collection,PSP,Misc,Valcon Games,Jack of All Games,7.3,0.07,0.06,0.0,0.0,0.01,2007-05-01,,0.06999999999999999,2007.0
Mahjong Fight Club DS: Wi-Fi Taiou,DS,Misc,Konami,Konami,7.3,0.07,0.0,0.07,0.0,0.0,2006-12-07,,0.07,2006.0
Emily the Strange: Strangerous,DS,Action,Conspiracy Entertainment,Tri Synergy,7.3,0.07,0.04,0.0,0.03,0.01,2011-05-24,,0.08,2011.0
Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,3DS,Action,Nippon Columbia,Nippon Columbia,7.3,0.07,0.0,0.07,0.0,0.0,2014-07-17,2018-08-03,0.07,2014.0
Kung Fu Panda: Legendary Warriors,Wii,Action,Activision,Artificial Mind and Movement,7.3,0.07,0.07,0.0,0.0,0.01,2008-11-05,,0.08,2008.0
The Croods: Prehistoric Party!,Wii,Action,D3Publisher,Torus Games Pty. Ltd.,7.3,0.07,0.01,0.0,0.06,0.0,2013-03-19,2018-12-14,0.06999999999999999,2013.0
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PS3,Action,Konami,Unknown,7.3,0.07,0.0,0.07,0.0,0.0,2011-12-22,,0.07,2011.0
